"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"65","G LAVALLE","0039PP0001","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","1","1","614414","0","0","202","202",-56.94193054,-36.40740283,"Rural Agrupado","Rural","1577","2","2",2,"39-2"
"66","G LAVALLE","0039PP0005","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","5","1","608724","0","0","7","7",-57.02777344,-36.8467516,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"67","G LAVALLE","0039PP0010","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","10","2","608726","0","0","6","6",-56.75066359,-36.71434257,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"68","G LAVALLE","0039PP0013","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","13","2","606516","0","0","3","3",-57.08421702,-36.56734084,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"69","G LAVALLE","0039PP0015","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","15","2","606482","0","0","13","13",-57.25504975,-36.68564076,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"70","G LAVALLE","0039PP0018","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","18","2","606480","73","0","80","153",-56.73739225,-36.39437398,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"71","G LAVALLE","0039PP0022","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","22","2","608731","98","0","120","218",-56.76102835,-36.70618112,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"72","G LAVALLE","0039PP0026","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","26","2","608727","0","0","2","2",-56.92268005,-36.56437039,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"73","G LAVALLE","0039PP0027","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","PP","27","2","608719","0","0","7","7",-57.14565328,-36.76725503,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"74","G LAVALLE","0039SC0001","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","SC","1","1","616598","106","0","106","212",-56.93457539,-36.4150345,"12","Rural","1577","2","2",2,"39-2"
"75","G LAVALLE","0039MS0002","39","2","GENERAL LAVALLE","SECUNDARIAS","MS","2","1","621738","0","84","0","84",-56.76077785,-36.70622014,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"76","G LAVALLE","cluster","39","cluster","GENERAL LAVALLE","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-56.8732480525,-36.75102248375,"cluster","cluster","cluster","cluster","cluster",1,"39-1"
"77","G LAVALLE","cluster","39","cluster","GENERAL LAVALLE","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-56.975404968,-36.49300832,"cluster","cluster","cluster","cluster","cluster",2,"39-2"
"78","LEZAMA","0137EE0501","137","3","LEZAMA","INICIAL Y PRIMARIA","EE","501","3","603268","25","0","50","75",-57.8915074,-35.8733585,"Urbano","Urbano","1273","2","2",1,"137-1"
"79","LEZAMA","0137JI0901","137","3","LEZAMA","INICIAL Y PRIMARIA","JI","901","3","603263","0","0","218","218",-57.89643612,-35.87350065,"Urbano","Urbano","1273","2","2",1,"137-1"
"80","LEZAMA","0137JM0001","137","3","LEZAMA","INICIAL Y PRIMARIA","JM","1","1","615245","73","0","73","146",-57.89474752,-35.87910209,"12","Urbano","1273","2","2",1,"137-1"
"81","LEZAMA","0137JS0001","137","3","LEZAMA","INICIAL Y PRIMARIA","JS","1","1","622130","0","0","3","3",-58.0023063,-35.94873193,"Rural Disperso","Rural","1273","2","2",2,"137-2"
"82","LEZAMA","0137JS0002","137","3","LEZAMA","INICIAL Y PRIMARIA","JS","2","1","623188","9","0","9","18",-58.06245531,-35.86342466,"Rural Disperso","Rural","1273","2","2",2,"137-2"
"83","LEZAMA","0137PP0001","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","1","1","609405","0","0","170","170",-57.89576676,-35.87342471,"Urbano","Urbano","1273","2","2",1,"137-1"
"84","LEZAMA","0137PP0002","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","2","1","609406","0","0","5","5",-57.9178371,-35.76652934,"Rural Disperso","Rural","1273","2","2",1,"137-1"
"85","LEZAMA","0137PP0003","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","3","1","603270","0","0","3","3",-57.75998513,-35.85246019,"Rural Disperso","Rural","1273","2","2",1,"137-1"
"86","LEZAMA","0137PP0004","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","4","1","603274","7","0","7","14",-58.06262536,-35.86341484,"Rural Disperso","Rural","1273","2","2",2,"137-2"
"87","LEZAMA","0137PP0005","137","3","LEZAMA","INICIAL Y PRIMARIA","PP","5","1","603269","0","0","5","5",-57.78317246,-35.79980742,"Rural Disperso","Rural","1273","2","2",1,"137-1"
