municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004JI0925;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;66;3;610265;0;0;219;219;-58.32246;-34.78054;Urbano;Urbano;88622;12;12;2;4-2;20
A BROWN;0004JI0926;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;67;3;612685;0;0;220;220;-58.32337;-34.79178;Urbano;Urbano;88622;12;12;2;4-2;20
A BROWN;0004JI0927;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;68;3;601881;0;0;181;181;-58.33378;-34.81419;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004JI0928;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;69;3;603934;0;0;144;144;-58.34593;-34.82118;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0929;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;70;3;601382;87;0;181;268;-58.35079;-34.82135;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0930;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;71;3;601380;73;0;157;230;-58.33532;-34.81229;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004JI0931;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;72;3;601381;0;0;130;130;-58.34084;-34.81959;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0932;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;73;3;603911;190;0;190;380;-58.33361;-34.80686;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004JI0933;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;74;3;603912;0;0;187;187;-58.34476;-34.81660;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0934;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;75;3;613427;72;0;84;156;-58.41092;-34.80920;Urbano;Urbano;88622;12;12;12;4-12;27
