municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona
A BROWN;0004JI0932;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;932;3;603911;190;0;190;380;-58.3336147;-34.80686497;Urbano                        ;Urbano
A BROWN;0004JI0933;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;933;3;603912;0;0;187;187;-58.34476647;-34.81660236;Urbano                        ;Urbano
A BROWN;0004JI0934;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;934;3;613427;72;0;84;156;-58.41092425;-34.80920976;Urbano                        ;Urbano
A BROWN;0004JI0935;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;935;3;612686;0;0;210;210;-58.38473487;-34.89886684;Urbano                        ;Urbano
A BROWN;0004JI0936;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;936;3;614700;216;0;218;434;-58.36078154;-34.88560344;Urbano                        ;Urbano
A BROWN;0004JI0937;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;937;3;613471;195;0;191;386;-58.41719182;-34.81644355;Urbano                        ;Urbano
A BROWN;0004JI0938;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;938;3;613507;0;0;182;182;-58.40719631;-34.8693025;Urbano                        ;Urbano
A BROWN;0004JI0939;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;939;3;613505;0;0;177;177;-58.43160801;-34.81986141;Urbano                        ;Urbano
A BROWN;0004JI0940;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;940;3;614958;151;0;186;337;-58.37900325;-34.87916734;Urbano                        ;Urbano
A BROWN;0004JI0941;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;941;3;615722;0;0;179;179;-58.40187554;-34.85544414;Urbano                        ;Urbano
A BROWN;0004JI0942;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;942;3;615720;0;0;176;176;-58.35981125;-34.82862603;Urbano                        ;Urbano
A BROWN;0004JI0943;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;943;3;615721;0;0;158;158;-58.39862489;-34.85004172;Urbano                        ;Urbano
A BROWN;0004JI0944;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;944;3;615826;0;0;245;245;-58.37326576;-34.83545449;Urbano                        ;Urbano
A BROWN;0004JI0945;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;945;3;616985;0;0;137;137;-58.37189628;-34.84686795;Urbano                        ;Urbano
A BROWN;0004JI0946;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;946;3;616973;0;0;142;142;-58.32759896;-34.78639195;Urbano                        ;Urbano
A BROWN;0004JI0947;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;947;3;617176;0;0;140;140;-58.3766242;-34.78782754;Urbano                        ;Urbano
A BROWN;0004JI0948;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;948;3;620075;0;0;130;130;-58.39552728;-34.90520638;Urbano                        ;Urbano
A BROWN;0004JI0949;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;949;3;620914;130;0;130;260;-58.33778919;-34.76184832;Urbano                        ;Urbano
A BROWN;0004JI0950;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;950;3;620068;0;0;140;140;-58.37485771;-34.81133564;Urbano                        ;Urbano
